signal_id,symbol,signal_dir,entry_price,created_at,R,label,reason,hit_bar_idx,state_label,ds_calib_weight
1515886,XAUUSD,BUY,4344.32,2026-08-14T08:45:00.566016+00:00,7.22,,both_touched_same_bar,0.0,RANGE,1.0
1514480,XAUUSD,BUY,4344.26,2026-08-10T14:55:27.578492+00:00,11.04,0.0,stop_first,0.0,REVERSAL,1.0
1514482,XAUUSD,BUY,4344.43,2026-08-10T15:00:00.562871+00:00,10.72,0.0,stop_first,0.0,REVERSAL,1.0
1514116,XAUUSD,BUY,4344.73,2026-08-10T06:23:30.603765+00:00,10.9,0.0,stop_first,0.0,REVERSAL,1.0
1514478,XAUUSD,BUY,4344.86,2026-08-10T14:50:11.561612+00:00,11.3,0.0,stop_first,0.0,REVERSAL,1.0
1514468,XAUUSD,BUY,4345.02,2026-08-10T14:25:00.550804+00:00,11.96,0.0,stop_first,0.0,REVERSAL,1.0
1515882,XAUUSD,BUY,4345.84,2026-08-14T08:30:00.576088+00:00,6.92,,both_touched_same_bar,0.0,RANGE,1.0
1515888,XAUUSD,BUY,4346.01,2026-08-14T08:50:00.565695+00:00,7.0,,both_touched_same_bar,0.0,RANGE,1.0
1514486,XAUUSD,BUY,4346.37,2026-08-10T15:10:12.567973+00:00,11.28,0.0,stop_first,0.0,REVERSAL,1.0
1514472,XAUUSD,BUY,4346.37,2026-08-10T14:35:25.581370+00:00,12.02,0.0,stop_first,0.0,REVERSAL,1.0
1514492,XAUUSD,BUY,4347.67,2026-08-10T15:25:00.566703+00:00,10.54,0.0,stop_first,0.0,REVERSAL,1.0
1514082,XAUUSD,BUY,4347.77,2026-08-10T06:08:30.608416+00:00,10.925,0.0,stop_first,0.0,REVERSAL,1.0
1514144,XAUUSD,BUY,4348.36,2026-08-10T06:37:43.119610+00:00,8.82,0.0,stop_first,0.0,REVERSAL,1.0
1514146,XAUUSD,BUY,4349.0,2026-08-10T06:38:14.185057+00:00,8.22,0.0,stop_first,0.0,REVERSAL,1.0
1514474,XAUUSD,BUY,4349.06,2026-08-10T14:40:00.554473+00:00,11.74,0.0,stop_first,0.0,REVERSAL,1.0
1514470,XAUUSD,BUY,4349.2,2026-08-10T14:30:13.560154+00:00,12.06,0.0,stop_first,0.0,REVERSAL,1.0
1514484,XAUUSD,BUY,4349.3,2026-08-10T15:05:00.558059+00:00,10.8,0.0,stop_first,0.0,REVERSAL,1.0
1515905,XAUUSD,BUY,4349.65,2026-08-14T10:55:00.558775+00:00,5.44,1.0,target_first,0.0,TREND,1.0
1514088,XAUUSD,BUY,4349.56,2026-08-10T06:11:00.607561+00:00,11.25,0.0,stop_first,0.0,REVERSAL,1.0
1515899,XAUUSD,BUY,4350.21,2026-08-14T10:40:12.470122+00:00,5.68,,both_touched_same_bar,0.0,RANGE,1.0
1514498,XAUUSD,BUY,4350.24,2026-08-10T15:40:00.564565+00:00,9.84,0.0,stop_first,0.0,TREND,1.0
1515897,XAUUSD,BUY,4350.32,2026-08-14T10:35:00.347373+00:00,5.76,,both_touched_same_bar,0.0,RANGE,1.0
1514500,XAUUSD,BUY,4350.28,2026-08-10T15:45:00.565362+00:00,9.6,0.0,stop_first,0.0,TREND,1.0
1514488,XAUUSD,BUY,4350.34,2026-08-10T15:15:27.601221+00:00,11.06,0.0,stop_first,0.0,REVERSAL,1.0
1515893,XAUUSD,BUY,4350.54,2026-08-14T09:30:02.583448+00:00,6.66,,both_touched_same_bar,0.0,RANGE,1.0
1514494,XAUUSD,BUY,4350.72,2026-08-10T15:30:13.578433+00:00,10.36,0.0,stop_first,0.0,REVERSAL,1.0
1514476,XAUUSD,BUY,4350.67,2026-08-10T14:45:00.561232+00:00,11.14,0.0,stop_first,0.0,REVERSAL,1.0
1514490,XAUUSD,BUY,4350.93,2026-08-10T15:20:00.559184+00:00,10.9,0.0,stop_first,0.0,REVERSAL,1.0
1515901,XAUUSD,BUY,4351.58,2026-08-14T10:45:25.615760+00:00,5.64,,both_touched_same_bar,0.0,RANGE,1.0
1514496,XAUUSD,BUY,4351.78,2026-08-10T15:35:28.603457+00:00,10.32,0.0,stop_first,0.0,REVERSAL,1.0
1517262,XAUUSD,BUY,4352.43,2026-08-19T08:00:12.703581+00:00,8.68,1.0,target_first,1.0,RANGE,1.0
1515903,XAUUSD,BUY,4353.23,2026-08-14T10:51:00.596615+00:00,5.56,,both_touched_same_bar,0.0,TREND,1.0
1514342,XAUUSD,BUY,4353.36,2026-08-10T08:08:30.589676+00:00,6.075,0.0,stop_first,0.0,REVERSAL,1.0
1514233,XAUUSD,BUY,4353.51,2026-08-10T07:18:30.594430+00:00,8.58,0.0,stop_first,0.0,REVERSAL,1.0
